coupling,bayes_auc_target,prevalence,quantity,varies_with,grid_invariant,n_seeds_compared,n_ours_raised,n_reference_raised,mean_ours,mean_reference,sd_ours,sd_reference,mean_abs_diff,max_abs_diff,mean_diff,se_mean_diff,z_mean_diff,noise_floor,noise_floor_exceeded
0.0,0.85,0.1,R6_preg_age__binding_rate,features_only,True,5,0,0,0.010137000000000002,0.01026,0.00018518909255137026,0.00016431676725155007,0.00018899999999999993,0.0003049999999999997,-0.0001229999999999981,0.00011072036849649666,1.110906707322691,0.00033216110548948995,False
0.0,0.85,0.3,realised_prevalence,label_layer,False,5,0,0,0.29963100000000004,0.298943,0.00109129166587123,0.0008188299579277817,0.0012920000000000043,0.002444999999999975,0.0006880000000000219,0.0006101475231450206,1.1275961532281715,0.0018304425694350619,False
0.0,0.85,0.3,expected_bayes_auc,label_layer,False,5,0,0,0.8500000000000011,0.8500000000999067,9.269364995670355e-15,8.07703251202581e-13,9.990557270356249e-11,1.0073730738469067e-10,-9.990563931694396e-11,3.612396609262728e-13,276.5633182712299,1.0837189827788186e-12,True
0.0,0.85,0.3,solved_gamma,label_layer,False,5,0,0,1.7382190123146917,1.7400721582696597,0.001120114510988969,0.0006586405412932307,0.0018531459549681717,0.0026248831876241052,-0.001853145954967994,0.0005811133934720653,3.1889575697020596,0.001743340180416196,True
0.0,0.85,0.3,solved_alpha,label_layer,False,5,0,0,-1.3092169748337006,-1.3095805137295204,0.00046560822278314784,0.0012672515815546665,0.0011339683392030953,0.0017064795103556296,0.0003635388958198593,0.000603774392977391,0.6021104903557452,0.001811323178932173,False
0.0,0.85,0.3,corr_core_trap,features_only,True,5,0,0,-0.07087430134101273,-0.06894061338247769,0.0025267373171367876,0.0023926026765075997,0.003648410653336423,0.006079946988020654,-0.0019336879585350464,0.0015562100781991448,1.2425622900300974,0.004668630234597434,False
0.0,0.85,0.3,trap_variance_share,coupling_only,False,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,False
0.0,0.85,0.3,R1_smoker_cigs__binding_rate,features_only,True,5,0,0,0.8005939999999999,0.799552,0.000673474201436098,0.0005919733946724212,0.0010419999999999874,0.0017499999999999183,0.0010419999999998764,0.00040099875311526347,2.5985118205601077,0.0012029962593457905,False
0.0,0.85,0.3,R2_glucose_floor__binding_rate,features_only,True,5,0,0,0.5678000000000001,0.5679460000000001,0.0006344781320108648,0.0009650479262710303,0.0005439999999999889,0.0009199999999999209,-0.00014599999999997948,0.0005165036301905364,0.28266984289368996,0.0015495108905716093,False
0.0,0.85,0.3,R3_glucose_ceil__binding_rate,features_only,True,5,0,0,0.029708999999999996,0.029668,0.00047062989705287466,0.0004937813281200497,7.100000000000093e-05,0.00018500000000000114,4.09999999999959e-05,0.00030506146921563187,0.13439914291835775,0.0009151844076468956,False
0.0,0.85,0.3,R4_bp_mandatory__binding_rate,features_only,True,5,0,0,0.21197300000000002,0.21221,0.0006232836432957365,0.001139051140203984,0.00047299999999999567,0.0010399999999999854,-0.00023699999999998722,0.0005806754687430843,0.40814536304244353,0.0017420264062292527,False
0.0,0.85,0.3,R5_anatomical__binding_rate,features_only,True,5,0,0,0.500192,0.499808,0.00040000937489015695,0.00040000937489012925,0.0006359999999999921,0.0014400000000000523,0.00038399999999999546,0.0002529881420146035,1.5178577025077697,0.0007589644260438106,False
0.0,0.85,0.3,R6_preg_age__binding_rate,features_only,True,5,0,0,0.010137000000000002,0.01026,0.00018518909255137026,0.00016431676725155007,0.00018899999999999993,0.0003049999999999997,-0.0001229999999999981,0.00011072036849649666,1.110906707322691,0.00033216110548948995,False
0.0,0.95,0.05,realised_prevalence,label_layer,False,5,0,0,0.049603999999999995,0.050097,0.000364989725882799,0.0005227403753298585,0.0005470000000000017,0.0011150000000000049,-0.0004930000000000073,0.0002851227805700562,1.7290796582943486,0.0008553683417101686,False
0.0,0.95,0.05,expected_bayes_auc,label_layer,False,5,0,0,0.9500000000000435,0.9500000000000851,9.005647135554682e-15,7.301216933386902e-14,5.595524044110789e-14,1.3733458814613186e-13,-4.163336342344337e-14,3.289947887480192e-14,1.265471820446701,9.869843662440576e-14,False
0.0,0.95,0.05,solved_gamma,label_layer,False,5,0,0,3.2563867671576667,3.2493451066587027,0.006388656536046214,0.010290550550590936,0.012944961655002007,0.024730005732516602,0.007041660498964042,0.005416832339473567,1.2999591011244744,0.0162504970184207,False
