gen,ruleset,subset,mass,prev,mean_pstar,abs_res,bayes_floor,excess,AUC_pstar_y
copula,R1-R6+R7,ALL,1.0,0.09808333333333333,0.09637998626989933,0.1679805188597967,0.13528431264895008,0.03269620621084662,0.5887635962966624
copula,R1-R6+R7,on-manifold,0.6407916666666666,0.08940763378633201,0.06771678277509999,0.13908840571281803,0.1022313155545849,0.03685709015823313,0.5879495728493157
copula,R1-R6+R7,off-manifold,0.35920833333333335,0.11355991184317364,0.14751226866712927,0.21952115313509946,0.19424754688096985,0.02527360625412961,0.5665503979272656
REAL,R1-R6,ALL,1.0,0.098625,0.09956395268381822,0.13559261634992753,0.1373166197249975,-0.0017240033750699768,0.853490319588138
REAL,R1-R6,on-manifold,1.0,0.098625,0.09956395268381822,0.13559261634992753,0.1373166197249975,-0.0017240033750699768,0.853490319588138
REAL,R1-R6+R7,ALL,1.0,0.098625,0.09956395268381822,0.13559261634992753,0.1373166197249975,-0.0017240033750699768,0.853490319588138
REAL,R1-R6+R7,on-manifold,1.0,0.098625,0.09956395268381822,0.13559261634992753,0.1373166197249975,-0.0017240033750699768,0.853490319588138
copula,R1-R6,ALL,1.0,0.09641666666666666,0.09926100763094206,0.16982347462938846,0.13848984167070688,0.03133363295868158,0.5919738714365186
copula,R1-R6,on-manifold,0.73225,0.0891089108910891,0.0785643772475353,0.14808230074910816,0.11608122660799944,0.032001074141108726,0.5926452482570975
copula,R1-R6,off-manifold,0.26775,0.1164021164021164,0.15586271668136076,0.2292818297137405,0.19977353309803655,0.02950829661570395,0.5612425667695751
copula,R1-R6+R7,ALL,1.0,0.09641666666666666,0.09926100763094206,0.16982347462938846,0.13848984167070688,0.03133363295868158,0.5919738714365186
copula,R1-R6+R7,on-manifold,0.6343333333333333,0.08690225959012086,0.07000751879749124,0.13970539313827687,0.10523799164667602,0.03446740149160085,0.5935471343818123
copula,R1-R6+R7,off-manifold,0.36566666666666664,0.11292160437556974,0.1500079440484962,0.22207024680585644,0.19617285953372487,0.02589738727213156,0.5657285511802757
