coupling,bayes_auc_target,prevalence,n_nuisance,seed,outcome,exception_type,exception_message,solved_gamma,solved_alpha,realised_prevalence,expected_bayes_auc
0.5,0.65,0.3,20,3,ok,,,0.5545705163690458,-0.8985186982370482,0.299,0.6499999999999996
0.5,0.65,0.3,0,4,ok,,,0.5549436522482336,-0.8985754761955405,0.2976,0.6500000000000005
0.5,0.65,0.3,20,4,ok,,,0.5549436522482336,-0.8985754761955405,0.293,0.6500000000000005
0.5,0.65,0.3,0,5,ok,,,0.5531275310580381,-0.8987800006406473,0.2934,0.6500000000000017
0.5,0.65,0.3,20,5,ok,,,0.5531275310580381,-0.8987800006406473,0.3038,0.6500000000000017
0.5,0.65,0.3,0,6,ok,,,0.5517520367251739,-0.8993227510484394,0.294,0.6500000000000002
0.5,0.65,0.3,20,6,ok,,,0.5517520367251739,-0.8993227510484394,0.2908,0.6500000000000002
0.5,0.65,0.3,0,7,ok,,,0.5556412925061242,-0.8987556750973191,0.3066,0.6500000000000002
0.5,0.65,0.3,20,7,ok,,,0.5556412925061242,-0.8987556750973191,0.2936,0.6500000000000002
0.5,0.85,0.05,0,0,ok,,,1.3331668175570948,-3.805179212329147,0.0442,0.8500000000008064
0.5,0.85,0.05,20,0,ok,,,1.3331668175570948,-3.805179212329147,0.0506,0.8500000000008064
0.5,0.85,0.05,0,1,ok,,,1.3230919820167928,-3.8015211483986535,0.0544,0.8500000000000101
0.5,0.85,0.05,20,1,ok,,,1.3230919820167928,-3.8015211483986535,0.0466,0.8500000000000101
0.5,0.85,0.05,0,2,ok,,,1.3161859640908153,-3.7967306780959755,0.056,0.850000000000004
0.5,0.85,0.05,20,2,ok,,,1.3161859640908153,-3.7967306780959755,0.0502,0.850000000000004
0.5,0.85,0.05,0,3,ok,,,1.3138085899109426,-3.7956143685951327,0.0526,0.8499999999999979
0.5,0.85,0.05,20,3,ok,,,1.3138085899109426,-3.7956143685951327,0.0466,0.8499999999999979
0.5,0.85,0.05,0,4,ok,,,1.3216936370020103,-3.7978241692121104,0.0432,0.8500000000000075
0.5,0.85,0.05,20,4,ok,,,1.3216936370020103,-3.7978241692121104,0.0516,0.8500000000000075
0.5,0.85,0.05,0,5,ok,,,1.3301049457599796,-3.8032515509830156,0.0464,0.8500000000002971
0.5,0.85,0.05,20,5,ok,,,1.3301049457599796,-3.8032515509830156,0.0474,0.8500000000002971
0.5,0.85,0.05,0,6,ok,,,1.3398946743479427,-3.810316039306408,0.0476,0.8500000000040815
0.5,0.85,0.05,20,6,ok,,,1.3398946743479427,-3.810316039306408,0.0516,0.8500000000040815
0.5,0.85,0.05,0,7,ok,,,1.3221979375273307,-3.798135772962017,0.05,0.8500000000000085
0.5,0.85,0.05,20,7,ok,,,1.3221979375273307,-3.798135772962017,0.0486,0.8500000000000085
0.5,0.85,0.1,0,0,ok,,,1.4292663204628826,-2.95793671273791,0.097,0.8500000000000734
0.5,0.85,0.1,20,0,ok,,,1.4292663204628826,-2.95793671273791,0.105,0.8500000000000734
