arm,dgp_seed,gen_seed,n,on_manifold_row_share,n_on_manifold,n_off_manifold,frac_density_zero_ruleclean,frac_density_zero_violating,density_zero_violating_exact,n_cigs_in_tol_band,mean_pstar,prev,R1_smoker_cigs__violation_rate,R2_glucose_floor__violation_rate,R3_glucose_ceil__violation_rate,R4_bp_mandatory__violation_rate,R5_anatomical__violation_rate,R6_preg_age__violation_rate,R7_smoker_cigs_min__violation_rate,excess_all,se_all,mass_all,excess_on_manifold,se_on_manifold,mass_on_manifold,excess_off_manifold,se_off_manifold,mass_off_manifold,excess_mass_on_manifold,excess_mass_off_manifold,on_manifold_excess_share
copula_dt,3,1.0,24000,0.6384166666666666,15322,8678,0.0,1.0,True,0,0.09721209135968616,0.09745833333333333,0.11291666666666667,0.03158333333333333,0.055125,0.09091666666666667,0.004375,0.003916666666666666,0.115,0.031407402706469245,0.0011375348811254354,1.0,0.03242031339723736,0.0013203852833885827,0.6384166666666666,0.02961899321073877,0.0021124130490546345,0.3615833333333333,0.02069766841135295,0.010709734295116293,0.6590060504140216
copula_dt,3,2.0,24000,0.6437083333333333,15449,8551,0.0,1.0,True,0,0.09729637692125948,0.10225,0.113625,0.030916666666666665,0.054625,0.08970833333333333,0.004125,0.00475,0.10991666666666666,0.03567096396647729,0.0011346267486154959,1.0,0.03980402827010253,0.0013141702756480002,0.6437083333333333,0.028203801011652513,0.0021222717180381183,0.3562916666666667,0.02562218469770058,0.010048779268776693,0.7182924667183007
copula_dt,3,3.0,24000,0.6390833333333333,15338,8662,0.0,1.0,True,0,0.09870580935535113,0.099125,0.11254166666666666,0.030666666666666665,0.052833333333333336,0.094875,0.004958333333333334,0.004416666666666667,0.112625,0.032585141770556186,0.0011360559070868208,1.0,0.03529610749317608,0.0013206041462892138,0.6390833333333333,0.027784773235166815,0.00210707470883914,0.36091666666666666,0.022557154030430612,0.010027987740125623,0.69225275093979
copula_dt,3,4.0,24000,0.6343333333333333,15224,8776,0.0,1.0,True,0,0.09910258942059806,0.098875,0.11520833333333333,0.033875,0.051583333333333335,0.09454166666666666,0.004583333333333333,0.004916666666666666,0.11675,0.03375382026539789,0.0011360257575788585,1.0,0.038507559526817794,0.0013247205262763926,0.6343333333333333,0.025507360999689616,0.0020906411065317386,0.36566666666666664,0.024426628593178085,0.009327191672219836,0.7236700438977739
real,4,,16000,1.0,16000,0,0.0,,True,0,0.10078570560230107,0.1008125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007619128047559598,0.0013718774847075645,1.0,-0.0007619128047559598,0.0013718774847075645,1.0,,,0.0,-0.0007619128047559598,,
copula_dt,4,0.0,24000,0.6401666666666667,15364,8636,0.0,1.0,True,0,0.09810340213100704,0.10054166666666667,0.11629166666666667,0.031375,0.052625,0.08958333333333333,0.00525,0.004083333333333333,0.11266666666666666,0.035527056905323956,0.0011325285844754334,1.0,0.04060044766846724,0.001318703231390782,0.6401666666666667,0.02650116810438219,0.0020980822374087383,0.35983333333333334,0.02599105324909711,0.009536003656226857,0.7315847557640548
copula_dt,4,1.0,24000,0.6386666666666667,15328,8672,0.0,1.0,True,0,0.09855504819785257,0.098625,0.11425,0.03295833333333333,0.051125,0.09016666666666667,0.004541666666666667,0.004875,0.11525,0.0320261580342682,0.001136564338344214,1.0,0.036058941514774484,0.0013243306134977958,0.6386666666666667,0.024898101624074326,0.0021011186261404476,0.36133333333333334,0.023029643980769305,0.008996514053498857,0.7190885636712171
copula_dt,4,2.0,24000,0.6429166666666667,15430,8570,0.0,1.0,True,0,0.09768066839243097,0.10220833333333333,0.11383333333333333,0.030583333333333334,0.05275,0.08933333333333333,0.004125,0.005166666666666667,0.112625,0.03572641172638266,0.0011347497249412743,1.0,0.04119929223417876,0.0013166446729375256,0.6429166666666667,0.025872672375706618,0.002116357892843273,0.3570833333333333,0.026487711632224093,0.00923870009415857,0.741404197966623
copula_dt,4,3.0,24000,0.6392083333333334,15341,8659,0.0,1.0,True,0,0.09771376123142367,0.099,0.1145,0.034541666666666665,0.05408333333333333,0.08983333333333333,0.004583333333333333,0.004875,0.11441666666666667,0.03371220835860245,0.0011333528649489666,1.0,0.037500365014119644,0.0013106253310718615,0.6392083333333334,0.027000796965567564,0.0021156536774065452,0.3607916666666667,0.023970545820067062,0.009741662538535398,0.711034577298773
copula_dt,4,4.0,24000,0.638375,15321,8679,0.0,1.0,True,0,0.09918876689740135,0.098875,0.11616666666666667,0.03,0.051625,0.088125,0.0047083333333333335,0.004916666666666666,0.11916666666666667,0.03336400619886934,0.0011349655141002204,1.0,0.03559176879231046,0.0013197799237526643,0.638375,0.029431346826348237,0.00210292684492368,0.361625,0.022720895402791194,0.01064311079607818,0.6810002152427711
