seed,config,model_AUC,gap_to_bayes,taskB_threshold,taskB_rank_pos,taskB_rank_pooled,ORACLE_threshold,ORACLE_rank_pos,ORACLE_rank_pooled
0,rand14,0.8471522126585359,0.0028477873419150423,0.9343600012273308,0.9842052469135802,0.5755933235122306,0.958557982392142,0.9987172067901234,0.5942926325836837
0,rand15,0.8430441071808753,0.006955892819575649,0.9268281495136855,0.9631751543209878,0.5697827430157079,0.958557982392142,0.9987172067901234,0.5942926325836837
0,rand16,0.8444572401837039,0.005542759816747012,0.8881870263076498,0.8227372685185186,0.5426928442880046,0.958557982392142,0.9987172067901234,0.5942926325836837
0,rand17,0.8476132972414002,0.0023867027590507295,0.9089550285540369,0.9133641975308642,0.559692826469397,0.958557982392142,0.9987172067901234,0.5942926325836837
0,rand18,0.849435737096627,0.0005642629038239422,0.9386085493507855,0.9877662037037037,0.5790978679795288,0.958557982392142,0.9987172067901234,0.5942926325836837
0,rand19,0.8452632014355668,0.0047367985648841815,0.9309359110172775,0.9748939043209877,0.5726562005623937,0.958557982392142,0.9987172067901234,0.5942926325836837
0,rand20,0.8487212871437695,0.0012787128566814632,0.9386890154513509,0.9882831790123457,0.5797478040974129,0.958557982392142,0.9987172067901234,0.5942926325836837
0,rand21,0.8469114267465556,0.0030885732538953325,0.9328469518495814,0.9713097993827161,0.5742917657325062,0.958557982392142,0.9987172067901234,0.5942926325836837
0,rand22,0.8483875300343684,0.0016124699660825526,0.9012856832482363,0.8870351080246913,0.554032114909792,0.958557982392142,0.9987172067901234,0.5942926325836837
0,rand23,0.852394780863165,-0.002394780862714052,0.9368586344271248,0.9830922067901233,0.579942556661968,0.958557982392142,0.9987172067901234,0.5942926325836837
1,PAPER DEFAULT (300/63/.05),0.8310343501931324,0.01896564980731852,0.9063470663160796,0.9715625000000001,0.575079367449064,0.956293932012921,0.998292824074074,0.5870665996943868
1,"crippled (5 trees, 2 leaves)",0.7892262416740168,0.06077375832643417,0.8618151587325233,0.6544810956790124,0.5152090772802641,0.956293932012921,0.998292824074074,0.5870665996943868
1,"crippled (20 trees, 4 leaves)",0.8300283341950789,0.01997166580537202,0.8751548328007489,0.7455979938271604,0.5298678774330225,0.956293932012921,0.998292824074074,0.5870665996943868
1,"overfit (2000/255/.2, no ES)",0.7842064782992183,0.06579352170123265,0.8895873370279054,0.9076755401234567,0.5631023447842769,0.956293932012921,0.998292824074074,0.5870665996943868
1,rand00,0.8457706377931202,0.0042293622073307224,0.9322478665584116,0.9852623456790124,0.5710680521516932,0.956293932012921,0.998292824074074,0.5870665996943868
1,rand01,0.837184439916056,0.012815560084394995,0.8795713501823698,0.7724951774691358,0.5334166216786959,0.956293932012921,0.998292824074074,0.5870665996943868
1,rand02,0.8454186806168071,0.0045813193836438115,0.9408537537274707,0.9911998456790123,0.5742702485599435,0.956293932012921,0.998292824074074,0.5870665996943868
1,rand03,0.8469566592657929,0.003043340734658062,0.9092885791663873,0.9334760802469136,0.5574003133185423,0.956293932012921,0.998292824074074,0.5870665996943868
1,rand04,0.8418372091608626,0.008162790839588374,0.9050700739659294,0.9538329475308642,0.5612030834859554,0.956293932012921,0.998292824074074,0.5870665996943868
1,rand05,0.8478282429514279,0.0021717570490230598,0.9038010346912376,0.9240663580246913,0.5569595483897999,0.956293932012921,0.998292824074074,0.5870665996943868
1,rand06,0.8491372851972384,0.0008627148032125387,0.9161666703910337,0.9825530478395061,0.5610254271529573,0.956293932012921,0.998292824074074,0.5870665996943868
1,rand07,0.8410448979591836,0.008955102041267371,0.8917189552281424,0.7911033950617283,0.5358200147268384,0.956293932012921,0.998292824074074,0.5870665996943868
1,rand08,0.8457651631740625,0.004234836826388477,0.9103190261773344,0.9494810956790124,0.5693096638014025,0.956293932012921,0.998292824074074,0.5870665996943868
1,rand09,0.8482768940661212,0.0017231059343297828,0.935935494273165,0.9902295524691358,0.5738791830987137,0.956293932012921,0.998292824074074,0.5870665996943868
1,rand10,0.8454185346269656,0.0045814653734853605,0.9285050328613318,0.9819039351851852,0.5667674011946172,0.956293932012921,0.998292824074074,0.5870665996943868
1,rand11,0.8414513093463913,0.00854869065405961,0.9302945136349078,0.9803414351851852,0.5665905442910385,0.956293932012921,0.998292824074074,0.5870665996943868
