gen,seed,arm,rate,delivered,inj_prev,train_prev,mean_pstar,LogReg,MLP,LGBM
ARF,2,creative,0.02,336,0.1041666666666666,0.1031162464985994,0.2290749152731059,0.8450230748565616,0.8373519014997628,0.823917303846586
ARF,2,creative,0.05,840,0.1035714285714285,0.1031179138321995,0.2282663562393568,0.8447851389562792,0.8377354687341518,0.8244661626451859
ARF,2,creative,0.1,1680,0.1029761904761904,0.1030844155844155,0.227953033947272,0.8441613656861051,0.8377343550827734,0.82235834183135
ARF,2,creative,0.2,3360,0.1029761904761904,0.1030753968253968,0.2263790218182172,0.8437337663895216,0.8374948343709138,0.8256942202864106
ARF,2,harmful_orig,0.02,336,0.8898809523809523,0.1185224089635854,0.2079757397586073,0.8427569656323758,0.8333232248054364,0.824102020060802
ARF,2,harmful_orig,0.05,840,0.8369047619047619,0.1380385487528344,0.2351840494144138,0.8372245597479105,0.8311772614318884,0.8257133665235711
ARF,2,harmful_orig,0.1,1680,0.8428571428571429,0.1703463203463203,0.2362291152246073,0.8232245484400658,0.8292998593715305,0.8263902738143211
ARF,2,harmful_orig,0.2,3360,0.8470238095238095,0.2270833333333333,0.2317482769793241,0.7902082973538272,0.8215427635276089,0.8241186391659883
ARF,2,harmful_rank,0.02,336,0.1041666666666666,0.1031162464985994,0.246537784796035,0.8440706887642512,0.8379155804282453,0.8235525187710223
ARF,2,harmful_rank,0.05,840,0.1035714285714285,0.1031179138321995,0.2240702921593582,0.8405483807851618,0.8364900638310704,0.8229575291057072
ARF,2,harmful_rank,0.1,1680,0.1029761904761904,0.1030844155844155,0.2472295707191963,0.8324009073003446,0.8376050858573814,0.8193619342993659
ARF,2,harmful_rank,0.2,3360,0.1029761904761904,0.1030753968253968,0.2260851127143498,0.8123894058515698,0.8335218830782557,0.8218083693813718
ARF,2,random,0.02,336,0.1041666666666666,0.1031162464985994,0.2290749152731059,0.8449800279475097,0.8363182188568248,0.8219037793215841
ARF,2,random,0.05,840,0.1035714285714285,0.1031179138321995,0.2282663562393568,0.8443502580929902,0.8355813243062465,0.8245580817166542
ARF,2,random,0.1,1680,0.1029761904761904,0.1030844155844155,0.227953033947272,0.8431383483967533,0.8368185053222256,0.821697818065687
ARF,2,random,0.2,3360,0.1029761904761904,0.1030753968253968,0.2263790218182172,0.8413627169392885,0.8355782831813284,0.8213225175511457
copula,0,BASE,0.0,0,,0.1007142857142857,,0.8221273448358102,0.7884180599302066,0.6691143224819143
copula,0,balance,0.02,336,0.1011904761904761,0.1007236227824463,0.1022889734179093,0.8243055612665883,0.7715524951273469,0.6797592448484201
copula,0,balance,0.05,840,0.1011904761904761,0.1007369614512471,0.0955599729560457,0.8236739496040197,0.7771942958433734,0.679603119491709
copula,0,balance,0.1,1680,0.1005952380952381,0.1007034632034632,0.0987172487354281,0.8236657257169174,0.7744449904191716,0.6593997701766217
